QUESTIONBANKCODE|QUESTIONCODE|QUESTIONTYPE|QUESTIONTEXT|QUESTIONTEXTFORMAT|QUESTIONFEEDBACK|OPTION|RIGHTOPTION|OPTIONFEEDBACK|ISCORRECT|OPTIONWEIGHT|ISCASESENSITIVE|RANDOMIZEOPTIONS|STATUS
OSEIMPLEMENTATION|OSEIMPLEMENTATION401|1|What is the reason to use projects/namespaces?|||Named resources to avoid basic naming collisions|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION401|1|What is the reason to use projects/namespaces?|||Delegated management authority to trusted users|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION401|1|What is the reason to use projects/namespaces?|||The ability to limit community resource consumption|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION401|1|What is the reason to use projects/namespaces?|||All of the above|||1|100|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION402|5|OpenShift can limit both the number of objects created in a project, and the total amount of resources requested across objects in a namespace/project.|||TRUE|||1|100|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION402|5|OpenShift can limit both the number of objects created in a Project, and the total amount of resources requested across objects in a namespace/project.|||FALSE|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION403|1|The 'Service' resource does the following:|||Routes between the different pods|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION403|1|The 'Service' resource does the following:|||Provides an up-to-date list of IPs and ports of the pods that the service represents|||1|100|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION403|1|The 'Service' Resource does the following:|||Load Balances between the pods|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION403|1|The 'Service' Resource does the following:|||None of the above|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION404|1|Which of the following could trigger a deployment to re-deploy (if so configured)?|||A Git event such as a “git push”|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION404|1|Which of the following could trigger a deployment to re-deploy (if so configured)?|||A webhook with the correct “secret” parameter|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION404|1|Which of the following could trigger a deployment to re-deploy (if so configured)?|||A new image is available for the registered image stream|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION404|1|Which of the following could trigger a deployment to re-deploy (if so configured)?|||All of the above|||1|100|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION405|1|Which one of the following is NOT found in the Replication Controller?|||The number of replicas desired (which can be adjusted at runtime)|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION405|1|Which one of the following is NOT found in the Replication Controller?|||The Git repository of a S2I built pod|||1|100|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION405|1|Which one of the following is NOT found in the Replication Controller?|||A pod definition for creating a replicated pod|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION405|1|Which one of the following is NOT found in the Replication Controller?|||A selector for identifying managed pods|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION406|5|Quotas can only be set on an individual Pod. Quotas cannot be set on an entire project.|||TRUE|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION406|5|Quotas can only be set on an individual Pod. Quotas cannot be set on an entire project.|||FALSE|||1|100|||
