QUESTIONBANKCODE|QUESTIONCODE|QUESTIONTYPE|QUESTIONTEXT|QUESTIONTEXTFORMAT|QUESTIONFEEDBACK|OPTION|RIGHTOPTION|OPTIONFEEDBACK|ISCORRECT|OPTIONWEIGHT|ISCASESENSITIVE|RANDOMIZEOPTIONS|STATUS
OSEIMPLEMENTATION|OSEIMPLEMENTATION601|1|Which of the following statements are true regarding 'templates'?|||A template describes a set of resources that can be customized and processed to produce a configuration.|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION601|1|Which of the following statements are true regarding 'templates'?|||Each template is a parameterized list that is used by OpenShift to create a list of resources, including services, pods, routes, buildconfigs, etc.|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION601|1|Which of the following statements are true regarding 'templates'?|||A template also defines a set of labels to apply to every resource created by the template.|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION601|1|Which of the following statements are true regarding 'templates'?|||All of the above|||1|100|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION602|1|Templates are comprised of 3 components. Which component does the following statement describe?  _____ are used to organize, group, or select objects and resources. Resources and pods are tagged with _____, and then services and replication controllers use _____ to indicate the pods they relate to. This makes it possible for services and replication controllers to reference groups of pods, or to treat pods with potentially different Docker containers as similar entities.|||Labels |||1|100|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION602|1|Templates are comprised of 3 components. Which component does the following statement describe?  _____ are used to organize, group, or select objects and resources. Resources and pods are tagged with _____, and then services and replication controllers use _____ to indicate the pods they relate to. This makes it possible for services and replication controllers to reference groups of pods, or to treat pods with potentially different Docker containers as similar entities.|||Parameters|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION602|1|Templates are comprised of 3 components. Which component does the following statement describe?  _____ are used to organize, group, or select objects and resources. Resources and pods are tagged with _____, and then services and replication controllers use _____ to indicate the pods they relate to. This makes it possible for services and replication controllers to reference groups of pods, or to treat pods with potentially different Docker containers as similar entities.|||Items|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION602|1|Templates are comprised of 3 components. Which component does the following statement describe?  _____ are used to organize, group, or select objects and resources. Resources and pods are tagged with _____, and then services and replication controllers use _____ to indicate the pods they relate to. This makes it possible for services and replication controllers to reference groups of pods, or to treat pods with potentially different Docker containers as similar entities.|||Metadata|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION603|1|Templates are comprised of 3 components. Which component does the following statement describe?  _____ can be any resources that needs to be created for the template, in our example we will create Pods, Services, Replication controllers and a route for our template.|||Labels |||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION603|1|Templates are comprised of 3 components. Which component does the following statement describe?  _____ can be any resources that needs to be created for the template, in our example we will create Pods, Services, Replication controllers and a route for our template.|||Parameters|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION603|1|Templates are comprised of 3 components. Which component does the following statement describe?  _____ can be any resources that needs to be created for the template, in our example we will create Pods, Services, Replication controllers and a route for our template.|||Items|||1|100|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION603|1|Templates are comprised of 3 components. Which component does the following statement describe?  _____ can be any resources that needs to be created for the template, in our example we will create Pods, Services, Replication controllers and a route for our template.|||Metadata|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION604|1|Templates are comprised of 3 components. Which component does the following statement describe?  _____ are used to share configuration values between the different items in the template. An easy example would be the database user name, password, or port needed by the frontend pods to communicate to the database backend pods.|||Labels |||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION604|1|Templates are comprised of 3 components. Which component does the following statement describe?  _____ are used to share configuration values between the different items in the template. An easy example would be the database user name, password, or port needed by the frontend pods to communicate to the database backend pods.|||Parameters|||1|100|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION604|1|Templates are comprised of 3 components. Which component does the following statement describe?  _____ are used to share configuration values between the different items in the template. An easy example would be the database user name, password, or port needed by the frontend pods to communicate to the database backend pods..|||Items|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION604|1|Templates are comprised of 3 components. Which component does the following statement describe?  _____ are used to share configuration values between the different items in the template. An easy example would be the database user name, password, or port needed by the frontend pods to communicate to the database backend pods.|||Metadata|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION605|1|Which projects do Templates need to be 'created' in to be accessible to all users?|||default|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION605|1|Which projects do Templates need to be 'created' in to be accessible to all users?|||openShift-infra|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION605|1|Which projects do Templates need to be 'created' in to be accessible to all users?|||openshift|||1|100|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION605|1|Which projects do Templates need to be 'created' in to be accessible to all users?|||each and every project|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION606|5|Projects can be shared between users and teams.|||TRUE|||1|100|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION606|5|Projects can be shared between users and teams.|||FALSE|||0|0|||
