QUESTIONBANKCODE|QUESTIONCODE|QUESTIONTYPE|QUESTIONTEXT|QUESTIONTEXTFORMAT|QUESTIONFEEDBACK|OPTION|RIGHTOPTION|OPTIONFEEDBACK|ISCORRECT|OPTIONWEIGHT|ISCASESENSITIVE|RANDOMIZEOPTIONS|STATUS
OSEIMPLEMENTATION|OSEIMPLEMENTATION701|1|A deployment configuration consists of the following key parts:|||A replication controller template which describes the application to be deployed.|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION701|1|A deployment configuration consists of the following key parts:|||A deployment strategy which will be used to execute the deployment.|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION701|1|A deployment configuration consists of the following key parts:|||A set of triggers which cause deployments to be created automatically.|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION701|1|A deployment configuration consists of the following key parts:|||All of the above|||1|100|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION702|1|Which of these options is the default strategy used if no strategy is specified on a deployment configuration|||Rolling Strategy|||1|100|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION702|1|Which of these options is the default strategy used if no strategy is specified on a deployment configuration|||Recreate Strategy|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION702|1|Which of these options is the default strategy used if no strategy is specified on a deployment configuration|||Custom Strategy|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION702|1|Which of these options is the default strategy used if no strategy is specified on a deployment configuration|||Puppet Strategy |||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION703|1|Which Deployment Strategy does the following statement describe: The _____ strategy has basic rollout behavior and supports lifecycle hooks for injecting code into the deployment process.|||Rolling Strategy|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION703|1|Which Deployment Strategy does the following statement describe: The _____ strategy has basic rollout behavior and supports lifecycle hooks for injecting code into the deployment process.|||Recreate Strategy|||1|100|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION703|1|Which Deployment Strategy does the following statement describe: The _____ strategy has basic rollout behavior and supports lifecycle hooks for injecting code into the deployment process.|||Custom Strategy|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION703|1|Which Deployment Strategy does the following statement describe: The _____ strategy has basic rollout behavior and supports lifecycle hooks for injecting code into the deployment process.|||Puppet Strategy |||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION704|1|Which Deployment Strategy does the following statement describe: The _____ strategy allows you to provide your own deployment behavior.|||Rolling Strategy|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION704|1|Which Deployment Strategy does the following statement describe: The _____ strategy allows you to provide your own deployment behavior.|||Recreate Strategy|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION704|1|Which Deployment Strategy does the following statement describe: The _____ strategy allows you to provide your own deployment behavior.|||Custom Strategy|||1|100|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION704|1|Which Deployment Strategy does the following statement describe: The _____ strategy allows you to provide your own deployment behavior.|||Puppet Strategy |||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION705|1|Which Deployment Strategy does the following statement describe: The _____ strategy performs a rolling update and supports lifecycle hooks for injecting code into the deployment process.|||Rolling Strategy|||1|100|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION705|1|Which Deployment Strategy does the following statement describe: The _____ strategy performs a rolling update and supports lifecycle hooks for injecting code into the deployment process.|||Recreate Strategy|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION705|1|Which Deployment Strategy does the following statement describe: The _____ strategy performs a rolling update and supports lifecycle hooks for injecting code into the deployment process.|||Custom Strategy|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION705|1|Which Deployment Strategy does the following statement describe: The _____ strategy performs a rolling update and supports lifecycle hooks for injecting code into the deployment process.|||Puppet Strategy |||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION706|1|If you wanted an external system to 'trigger' a new build in OpenShift, What would be the easiest way to accomplish that?|||GitHub Webhook|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION706|1|If you wanted an external system to 'trigger' a new build in OpenShift, What would be the easiest way to accomplish that?|||Generic Webhook|||1|100|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION706|1|If you wanted an external system to 'trigger' a new build in OpenShift, What would be the easiest way to accomplish that?|||Pre-deploy Lifecycle hook|||0|0|||
OSEIMPLEMENTATION|OSEIMPLEMENTATION706|1|If you wanted an external system to 'trigger' a new build in OpenShift, What would be the easiest way to accomplish that?|||Post-deploy Lifecycle hook|||0|0|||
